"protein_group","abundance_A_1","abundance_A_1.x","abundance_A_1.y","abundance_B_1","abundance_B_1.x","abundance_B_1.y","number_of_peptides_A_1","number_of_peptides_A_1.x","number_of_peptides_A_1.y","number_of_peptides_B_1","number_of_peptides_B_1.x","number_of_peptides_B_1.y","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Biognosys|iRT-Kit_WR_fusion",-15.9826626636,-16.0196283524,-15.9515846412,-16.0566979152,-15.8180061154,-15.8350442455,63,56,59,68,63,57,0.755061919953596,0.907899397803755,-0.0813757936999995
"sp|P0CX31|RS24A_YEAST",-19.697578508,-19.5871779567,-19.7099332313,-19.7783917953,-20.2445853843,-19.5387060996,8,7,7,7,6,7,0.550682569605568,0.839763958238765,0.188997861066667
"sp|P0CX33|RS30A_YEAST",NA,-20.4437930654,-20.6209439366,NA,-20.9954048981,NA,1,1,1,2,2,2,NA,NA,NA
"sp|P0CX35|RS4A_YEAST",-18.8655975931,-19.2914801294,-19.1515654988,-19.3782238482,-19.7189476845,-19.8196812991,32,18,23,18,15,17,0.127531612529002,0.435866983372922,0.536069870166667
"sp|P0CX37|RS6A_YEAST",-18.8029732531,-18.4574401989,-18.7838525958,-19.5665575409,-19.290968704,-18.9874886319,16,22,18,13,13,17,0.0996151392111369,0.388038942976356,0.600249609666669
"sp|P0CX39|RS8A_YEAST",-19.4347327698,-18.6829911492,-19.1425848505,-18.9234653922,-19.3886443357,-18.9695607112,8,10,15,9,9,9,0.964848897911833,0.974441833137485,0.00712055653333366
"sp|P0CX41|RL23A_YEAST",-17.956767881,-18.0220109078,-17.749461262,-18.9953675216,-18.4872171139,-18.7210641909,25,20,27,19,17,18,0.0330446635730858,0.211081794195251,0.825136258533334
"sp|P0CX43|RL1A_YEAST",-19.0301642808,-19.3790371464,-19.1689171755,-20.6832256627,-20.2783640966,-20.8387079003,16,16,18,11,7,10,0.00460469837587007,0.0619469026548673,1.40739301896667
"sp|P0CX45|RL2A_YEAST",-19.5218530475,-19.4893823547,-19.0485699004,-20.1240565622,-20.1846339108,-20.1299162922,8,12,12,8,9,5,0.0359831786542923,0.218274111675127,0.792933820866665
"sp|P0CX47|RS11A_YEAST",-18.5971486799,-18.6742108761,-18.5986469783,-19.5081302093,-19.5030149759,-19.3183655447,17,15,14,12,11,12,0.0226783642691415,0.163333333333333,0.819834731866667
"sp|P0CX49|RL18A_YEAST",-20.9008993972,-19.8998922679,-21.0837674304,-20.6610306105,-20.4654138538,-20.3490425807,10,8,7,8,8,7,0.704517546403712,0.898393724318267,-0.136357350166666
"sp|P0CX51|RS16A_YEAST",-18.6102961958,-18.8521011178,-18.5621681262,-19.2208012656,-19.1429691444,-19.2306796249,19,17,19,14,15,14,0.10490777262181,0.399460188933873,0.523294865033332
"sp|P0CX53|RL12A_YEAST",-19.1132390357,-19.1017204927,-18.4827560099,-19.5482009946,-19.0977325869,-19.6960848843,12,13,17,10,9,9,0.150522331786543,0.462809917355372,0.548100975833332
"sp|P0CX55|RS18A_YEAST",-19.087027397,-19.1806422757,-19.0867078036,-19.6234018298,-19.9070161484,-19.8893050597,21,18,22,17,12,17,0.0456194895591647,0.263858093126386,0.688448520533335
"sp|P0CX82|RL19A_YEAST",-19.4679965025,-18.6871512117,-19.4801848578,-19.4989262712,-19.1559694521,-20.0888026571,11,14,18,11,12,9,0.342433729698376,0.691682301438399,0.369455269466663
"sp|P0CX84|RL35A_YEAST",-21.7046721928,-19.7339191941,-19.8023185372,-20.5559119048,-19.8592655957,-20.2188252215,6,6,4,5,3,3,0.659099332946636,0.876280535855004,-0.202302400700002
"sp|P0DMM9|ST1A3_HUMAN",NA,-23.3111746134,-23.1277788567,NA,NA,-23.1756262139,1,1,3,2,1,1,NA,NA,NA
"sp|P0DMU9|CT45A_HUMAN",-22.8468134395,NA,-22.5629554744,NA,-22.6157952316,-22.7030656372,2,2,2,1,2,2,0.863229118329466,0.94910371318822,-0.0454540225499969
"sp|P0DMV8|HS71A_HUMAN",-18.9493014573,-18.8343598571,-18.6873180494,-18.7883017496,-18.5026718745,-18.5083717486,133,121,116,127,118,123,0.44521722737819,0.76943140323422,-0.223877997033334
"sp|P0DP23|CALM1_HUMAN",-18.0773824361,-19.1372030802,-19.2722826719,-17.9230222767,-18.4666485669,-19.4478377894,23,19,19,26,21,15,0.61506090487239,0.859983429991715,-0.216453185066666
"sp|P0DPB6|RPAC2_HUMAN",-19.4289335181,NA,-19.9786238507,-19.8091708538,-20.5355781783,-19.7079492975,4,2,5,3,3,4,0.418449680974478,0.75177304964539,0.313787425466668
"sp|P0DTT0|BIPA_ECOLI",NA,NA,NA,-22.6497831622,-23.705830978,-21.9423612683,NA,NA,NA,4,3,5,NA,NA,NA
"sp|P10080|SSBP1_YEAST",-20.8339343668,-19.9880023404,-19.9326922157,-21.2473135035,-20.7970342387,-20.8795743382,7,11,9,5,6,6,0.0816951856148492,0.349304482225657,0.723097719166667
"sp|P10081|IF4A_YEAST",-18.7315648729,-18.704084728,-18.7012574073,-19.0643244977,-19.2066434972,-18.9119488944,33,28,31,24,21,22,0.242733903712297,0.583660644147683,0.348669960366667
"sp|P10155|RO60_HUMAN",-21.4283497705,-22.8822398618,-21.5706409952,-21.2784948373,-21.6118279525,-21.1293864599,11,5,8,19,10,11,0.171493184454756,0.491279069767442,-0.620507125933333
"sp|P10398|ARAF_HUMAN",NA,-24.2426722021,NA,-23.3988839903,NA,-24.2582317622,4,3,1,2,3,2,NA,NA,NA
"sp|P10412|H14_HUMAN",NA,NA,-21.8656444551,NA,NA,NA,3,4,3,4,3,4,NA,NA,NA
"sp|P10507|MPPB_YEAST",-24.1686732114,NA,-24.0458376337,NA,NA,NA,2,1,2,1,1,1,NA,NA,NA
"sp|P10515|ODP2_HUMAN",-22.4680818549,-21.1384957924,-21.2311799805,-21.6266295448,-22.9101727127,-21.5082501071,11,14,11,13,13,12,0.389716792343387,0.735958309206717,0.402431578933331
"sp|P10591|HSP71_YEAST",-18.9806349284,-19.0098248409,-18.865132071,-19.5404614754,-19.3876224993,-19.4198687612,158,150,141,116,110,108,0.109402407192575,0.405194805194805,0.497453631866666
"sp|P10592|HSP72_YEAST",-19.6458729649,-19.951940026,-20.025991717,-20.3957797534,-20.5120816769,-20.5554296679,142,133,129,110,97,100,0.0730952726218097,0.328925619834711,0.613162130099997
"sp|P10599|THIO_HUMAN",-19.0835378521,-18.2248167222,-18.8116572725,-18.8249673568,-18.8184309212,-18.5255040878,14,14,9,13,14,13,0.942995649651972,0.968116805721097,0.0162968396666656
"sp|P10606|COX5B_HUMAN",-20.9048712664,-21.5537776284,-20.0449580234,-21.6597266621,-20.798735492,-20.5620467859,3,2,5,3,5,3,0.679107163573086,0.88553987027852,0.172300673933336
"sp|P10614|CP51_YEAST",-22.8728316267,NA,-23.7614509398,NA,NA,NA,3,3,3,3,1,NA,NA,NA,NA
"sp|P10622|RLA3_YEAST",-20.7344627305,-19.6318882754,-19.9846648294,-20.0278620009,-21.1210180695,NA,2,2,2,2,1,NA,0.323142836426914,0.673575129533679,0.457434756766666
"sp|P10644|KAP0_HUMAN",NA,NA,NA,NA,-22.8522432068,-22.8080835455,6,7,6,9,7,6,NA,NA,NA
"sp|P10659|METK1_YEAST",-20.57466641,-20.4200851549,-21.3220935635,-21.1486641783,-21.3609826962,-20.9294824786,6,7,5,5,5,6,0.308556699535963,0.666442501681237,0.374094741566665
"sp|P10664|RL4A_YEAST",-21.9664725696,-22.6749202573,-22.8773855395,NA,-23.1644115787,-22.8189656244,32,29,27,2,24,22,0.230331061484919,0.570965125709651,0.485429146083337
"sp|P10746|HEM4_HUMAN",NA,-21.4991155868,-20.9044067333,-22.9927571881,-20.7662148236,-22.6262729548,NA,3,5,5,4,4,0.136698665893271,0.446927374301676,0.926653828783337
"sp|P10768|ESTD_HUMAN",-19.4611565283,-19.0162709655,-18.9337293562,-18.9931721902,-19.3878605592,-19.2800400756,19,17,20,17,16,15,0.778489559164733,0.92086081221798,0.0833053250000013
"sp|P10809|CH60_HUMAN",-17.7776284268,-17.72550785,-17.8856369955,-17.5535031899,-17.4451157981,-17.5469264013,89,86,90,104,91,96,0.318890516241299,0.670811518324607,-0.281075961000003
"sp|P10869|AK_YEAST",-23.7297916552,-22.5204751272,-23.94649521,NA,-23.680917899,NA,5,4,3,2,3,2,NA,NA,NA
"sp|P10964|RPA1_YEAST",-23.4301579733,-22.7657463861,-23.5086403347,-25.4817234365,-25.5976196772,-25.1288680447,9,13,12,2,6,3,0.000916618329466357,0.0185185185185185,2.16788882143333
"sp|P11021|BIP_HUMAN",-19.352260433,-19.1081916702,-19.1110106691,-19.0056223467,-19.0465841776,-18.7791665787,51,42,40,57,49,51,0.404934599767981,0.748314606741573,-0.246696556433335
"sp|P11075|SEC7_YEAST",-23.1733821045,-23.0818123636,-24.0738951766,-24.982043952,NA,-25.0559697869,11,12,10,2,3,6,0.00733889211136891,0.0723684210526316,1.57597698788334
"sp|P11076|ARF1_YEAST",NA,-21.1813317138,NA,-20.3774484927,NA,-20.2264730404,17,13,16,7,10,6,NA,NA,NA
"sp|P11142|HSP7C_HUMAN",-17.2048073279,-17.2873663211,-17.2650191866,-17.1778781026,-17.2001608792,-17.1320049399,207,188,200,226,202,208,0.738847302784223,0.903825527350733,-0.0823829712999995
"sp|P11154|PYC1_YEAST",-23.0302015986,NA,-23.9527498461,-25.0423323825,NA,NA,26,2,4,3,1,16,NA,NA,NA
"sp|P11166|GTR1_HUMAN",-22.6658644231,-22.8214085049,-22.819697468,-22.9380698573,-22.488573643,-22.50716155,5,6,5,5,6,5,0.670323810904872,0.878095975232198,-0.124388448566666
"sp|P11171|EPB41_HUMAN",-20.3821852085,-20.4475916272,-20.6519472344,-20.8218131664,-20.6135851811,-20.1945776303,23,18,11,16,16,22,0.860535382830626,0.948602634115002,0.0494173025666633
"sp|P11172|UMPS_HUMAN",-21.3412197332,-21.6134009264,-21.6034716884,-21.181419414,-20.8565275387,-20.8941072211,9,8,10,10,8,10,0.108531902552204,0.405194805194805,-0.542012724733333
"sp|P11177|ODPB_HUMAN",-21.4978234671,-20.8759106955,-20.8636653831,-20.8853152729,-21.6373101795,-21.3264149663,9,8,10,10,9,11,0.555707221577726,0.841539838854073,0.203880290999997
"sp|P11216|PYGB_HUMAN",NA,NA,NA,-24.7159825152,NA,NA,3,5,4,3,NA,2,NA,NA,NA
"sp|P11217|PYGM_HUMAN",NA,NA,NA,-24.8450316471,NA,NA,NA,3,NA,2,NA,1,NA,NA,NA
"sp|P11233|RALA_HUMAN",NA,-22.3346412696,-22.141300328,-21.466297566,-22.3384804145,-22.3440546021,NA,1,1,4,3,1,0.607387325986079,0.85600335852225,-0.188359937933331
"sp|P11234|RALB_HUMAN",NA,-22.4591904715,NA,NA,NA,NA,NA,4,5,2,2,4,NA,NA,NA
"sp|P11274|BCR_HUMAN",-25.4321240386,-23.693953628,-23.4092544317,-25.3940412028,-24.1051182345,-25.2452348838,9,8,8,7,10,10,0.180495649651972,0.511715089034677,0.736354074266668
"sp|P11277|SPTB1_HUMAN",-23.6303726282,-24.4186283164,-23.475441522,-23.3864908182,-23.6715042248,-23.246536273,17,17,15,17,22,17,0.279078016241299,0.634129213483146,-0.406637050200001
"sp|P11310|ACADM_HUMAN",-21.2029425898,-21.2382742405,-20.8970289215,-21.1543086409,-21.2313178365,-21.0956975006,12,9,13,14,12,14,0.853582076566125,0.946365105008078,0.0476927420666691
"sp|P11353|HEM6_YEAST",NA,-22.0458945159,-23.0850113323,NA,NA,NA,9,4,6,3,NA,1,NA,NA,NA
"sp|P11387|TOP1_HUMAN",-23.7981955445,-22.6122717267,-23.5869836701,-23.4491271439,-23.5556518659,-23.2425164147,13,8,9,13,11,10,0.810349042923434,0.932391523713421,0.0832814943999978
"sp|P11388|TOP2A_HUMAN",-24.5461921898,-24.390326149,-24.3899324681,-24.4441413929,NA,-24.382789082,6,4,8,5,2,10,0.897728683294664,0.956199876619371,-0.0286850315166696
"sp|P11412|G6PD_YEAST",-20.6593154462,-19.7743710027,-19.751303333,-20.4196506788,-20.5179217395,-20.8267200217,23,21,20,17,15,12,0.181322215777262,0.512628624883068,0.526434219366667
"sp|P11413|G6PD_HUMAN",-19.0651497856,-19.0040759362,-19.2286267689,-19.0443120003,-18.970562347,-18.7943675872,38,32,35,41,38,36,0.560016821345708,0.841539838854073,-0.162870185399999
"sp|P11441|UBL4A_HUMAN",-20.7508369749,-21.8116124907,-20.7888318737,-20.7188851745,-20.6274882921,NA,8,5,7,7,7,5,0.290459106728538,0.638121546961326,-0.443907046466666
"sp|P11484|SSB1_YEAST",-21.8525775402,-21.7928916608,-21.7789090044,-21.6274142813,-21.7768343921,-22.5246581225,5,61,4,5,3,2,0.612908207656613,0.858573216520651,0.168176196833333
"sp|P11491|PPB_YEAST",-22.5875635394,-23.1299248968,NA,NA,NA,NA,4,5,3,4,2,3,NA,NA,NA
"sp|P11498|PYC_HUMAN",-23.9586149601,-24.8348818655,-24.9393598063,-23.9338292039,-23.7375958912,-24.6731835408,5,7,3,5,6,6,0.263166763341067,0.61527057079318,-0.462749332000001
"sp|P11586|C1TC_HUMAN",-20.9072474443,-20.599677347,-20.7803432089,-21.5240699503,-20.8724527484,-20.9190251897,29,27,31,27,28,31,0.314183004640371,0.670811518324607,0.342759962733336
"sp|P11632|NHP6A_YEAST",-20.4461679593,NA,-20.3564617183,NA,NA,NA,2,2,2,1,NA,NA,NA,NA,NA
"sp|P11717|MPRI_HUMAN",-22.2878352596,-22.0217775073,-22.1060139044,-21.7741963354,-21.9649436313,-21.794889242,27,26,31,36,30,36,0.320518561484919,0.671447196870926,-0.293865820866667
"sp|P11745|RNA1_YEAST",-21.4786425805,-21.2003110376,-21.6728954467,-22.1450894699,-21.4524750311,-23.0360902481,9,6,8,2,8,4,0.104306409512761,0.398639455782313,0.760601894766666
"sp|P11766|ADHX_HUMAN",-20.0642780818,-19.5187665861,-19.5299841048,-19.4913344101,-19.5431468026,-19.6372903163,13,10,16,18,14,14,0.626236223897912,0.8671875,-0.1470857479
"sp|P11802|CDK4_HUMAN",-22.9883735537,-22.6448577957,-22.7360062759,-22.8848637569,-22.5779241863,NA,3,3,3,3,3,3,0.835275232018561,0.943458251150559,-0.0583519035000002
"sp|P11908|PRPS2_HUMAN",-20.8274499656,-20.8039413649,-20.9005421548,-21.6087378477,-21.0538026576,-21.1133342869,15,13,14,14,13,11,0.216265516241299,0.557154953429297,0.414647102300002
"sp|P11938|RAP1_YEAST",-24.551391634,-23.3692898778,-23.4095607633,NA,NA,NA,3,7,5,3,1,1,NA,NA,NA
"sp|P11940|PABP1_HUMAN",-21.0225913176,-22.2149020491,-21.7572900949,-21.2986397502,-21.5600632233,-21.583659833,51,40,47,45,48,43,0.607725928074246,0.856903063365506,-0.184140218366668
"sp|P12004|PCNA_HUMAN",-18.3346091941,-18.0673899847,-18.35870623,-18.323650855,-17.9806838249,-18.194710945,34,29,30,37,35,33,0.754511890951276,0.907899397803755,-0.0872199279666681
"sp|P12081|HARS1_HUMAN",-21.6181389118,-21.8151055965,-21.1616748738,-20.3921813006,-21.2579543226,-20.9869691536,14,14,10,14,12,11,0.109082946635731,0.405194805194805,-0.652604868433333
"sp|P12235|ADT1_HUMAN",NA,NA,NA,-24.0160414993,NA,NA,18,13,13,16,13,16,NA,NA,NA
"sp|P12236|ADT3_HUMAN",-22.9033201874,-21.6587431063,-22.8571869744,-22.9226302327,-21.7660746026,-21.7200787729,20,17,17,18,18,20,0.445794228538283,0.76943140323422,-0.336822219966667
"sp|P12268|IMDH2_HUMAN",-18.7447893633,-19.0685190014,-19.2711053001,-18.8443151467,-18.9199843656,-18.7237758442,39,41,34,37,39,44,0.513872824825986,0.819299905392621,-0.198779436100001
"sp|P12270|TPR_HUMAN",-20.5087681847,-20.582917905,-20.5462478142,-20.4720906726,-20.6184681195,-20.2417855156,66,52,58,70,62,65,0.710501885150812,0.899553571428571,-0.101863198733334
"sp|P12277|KCRB_HUMAN",-17.9889868607,-17.9433295546,-17.9642772777,-17.8697554855,-17.949117432,-17.8165405865,59,44,53,63,56,58,0.728242459396752,0.902955125866472,-0.0870600629999991
"sp|P12385|ERF1_YEAST",-23.6337214681,-21.7780813328,-21.6692164347,-23.8428524764,-23.2485609825,-22.304155461,9,8,10,6,3,7,0.16969373549884,0.485408560311284,0.771516561433334
"sp|P12429|ANXA3_HUMAN",NA,NA,NA,NA,-23.4884880762,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"sp|P12532|KCRU_HUMAN",NA,NA,-23.7638154113,NA,NA,-23.3033919457,NA,NA,3,NA,1,2,NA,NA,NA
"sp|P12611|WHI2_YEAST",-23.5270821435,-23.8584074522,-23.4992804987,NA,-24.0804767379,NA,2,1,2,1,2,3,NA,NA,NA
"sp|P12612|TCPA_YEAST",-22.0964464105,-21.0302978521,-22.2685824565,-23.4819657692,NA,-21.9781705789,14,11,9,7,7,7,0.103294953596288,0.39699863574352,0.931625934349999
"sp|P12688|YPK1_YEAST",-22.0849351533,-21.7032063967,-22.4115590586,NA,-24.6194323609,-24.0211057246,13,9,9,4,4,4,0.00106453016241299,0.0185185185185185,2.25370217321667
"sp|P12695|ODP2_YEAST",-22.1334515612,-21.57141355,-21.0261426212,-22.9184703261,-21.7134804742,-21.8066568933,9,11,11,6,6,8,0.208203016241299,0.552173913043478,0.569199987066664
"sp|P12709|G6PI_YEAST",-18.463675849,-18.314135753,-18.2158346345,-19.2001262454,-18.9343541006,-18.7023060243,55,55,59,32,38,37,0.0818736948955917,0.350308641975309,0.614380044600001
"sp|P12754|EI2BD_YEAST",-24.4424804525,NA,-24.5593982543,NA,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA
"sp|P12758|UDP_ECOLI",NA,NA,NA,-21.3840591073,-21.3149553771,-21.7977591948,NA,NA,1,4,3,5,NA,NA,NA
"sp|P12814|ACTN1_HUMAN",-20.8817620037,-21.2015948529,-20.5058109765,-20.322193606,-20.9119988776,-20.5044680346,62,53,52,60,51,61,0.412230568445476,0.75177304964539,-0.283502438300001
"sp|P12829|MYL4_HUMAN",-19.7133387162,-20.2481089002,-19.535087973,-19.4328424954,-19.3909709894,-19.182939175,13,14,13,14,17,17,0.16862659512761,0.484375,-0.496594309866666
"sp|P12904|AAKG_YEAST",-22.9455837818,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"sp|P12945|NAT1_YEAST",-23.5595812767,-23.3699997253,-22.4747371198,-23.6614316362,-24.4345354065,-24.442456376,7,6,8,2,5,2,0.0338794953596288,0.211081794195251,1.04470176563333
"sp|P12955|PEPD_HUMAN",-23.4335078742,-22.966971116,-23.2230019059,-23.3934254517,NA,-23.7778367858,1,2,1,2,NA,1,0.27155945475638,0.62992700729927,0.377804153383334
"sp|P12956|XRCC6_HUMAN",-19.138569158,-19.172978842,-19.4119529554,-19.0266038369,-19.3222446496,-19.144772748,37,33,36,50,39,40,0.777621229698376,0.920403197775461,-0.0766265736333303
"sp|P12962|CAF20_YEAST",-20.7088900348,-20.4197306602,-20.3423588284,-22.4228456375,-22.1884330318,-21.1095737932,2,2,3,1,1,2,0.0116870649651972,0.120603015075377,1.41662431303333
"sp|P13010|XRCC5_HUMAN",-19.5662288952,-19.9461515672,-20.027570193,-19.2771510797,-19.8527788127,-19.7486779265,40,34,37,47,36,36,0.499107018561485,0.813138686131387,-0.220447612166666
"sp|P13024|FDHE_ECOLI",NA,NA,NA,-23.775594739,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"sp|P13029|KATG_ECOLI",NA,NA,NA,-21.4289535016,-22.8747356033,-24.1339606513,NA,1,1,10,5,7,NA,NA,NA
"sp|P13073|COX41_HUMAN",-20.4538492302,-20.2099037884,-20.2617228063,-20.5930637137,-19.9453109824,-20.6779240362,8,11,5,11,12,12,0.755881090487239,0.908482928546287,0.0969409691333354
"sp|P13130|SS100_YEAST",NA,-24.3369843351,-23.313814483,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA
"sp|P13188|SYQ_YEAST",-21.8270091507,-22.2676840762,-22.9918288525,-23.9200382726,-24.416732413,NA,26,15,18,10,5,14,0.00486905452436195,0.0619469026548673,1.80621131633334
"sp|P13298|PYRE_YEAST",-20.662113234,-22.1668264688,-21.4124269835,-22.732423527,-22.2815511114,NA,6,4,3,4,4,4,0.0444463457076566,0.262443438914027,1.09319842376667
"sp|P13473|LAMP2_HUMAN",-22.7821593318,NA,-23.7461472071,-23.6394875881,-22.8752486304,-23.4955476465,5,3,3,4,5,6,0.843098607888631,0.944498857329416,0.0726080188833365
"sp|P13489|RINI_HUMAN",-19.679545698,-18.8850736522,-19.2973021271,-19.3135997111,-18.8945475526,-18.9117847957,16,21,25,22,26,23,0.467398781902552,0.788461538461538,-0.247329805966665
"sp|P13517|CAPZB_YEAST",-23.020020703,-20.9839099719,-21.4103991493,-22.1789615091,-21.9836090134,NA,4,7,5,2,4,2,0.583533497679814,0.850668968493742,0.276508653183331
"sp|P13586|ATC1_YEAST",-24.7357594904,-24.4279080281,-23.4952103536,-25.1085966681,NA,NA,4,6,7,2,1,2,NA,NA,NA
"sp|P13598|ICAM2_HUMAN",NA,NA,NA,-23.1787341366,NA,NA,NA,1,NA,1,1,1,NA,NA,NA
"sp|P13639|EF2_HUMAN",-18.0120261878,-18.141939538,-18.1122323543,-17.8295430394,-18.0272457555,-17.8781767585,167,149,145,186,158,162,0.517687645011601,0.823251417769376,-0.177077508899998
"sp|P13663|DHAS_YEAST",-20.1417087632,-19.7206316841,-20.3658067619,-20.6301191926,-21.1617084061,-19.8851216547,21,17,18,12,12,13,0.243717372389791,0.583855799373041,0.482934014733335
"sp|P13667|PDIA4_HUMAN",-19.8547186844,-19.5030094469,-19.888272662,-19.7042112007,-19.4233627802,-20.1702938059,32,34,33,38,40,30,0.939845852668213,0.967414050822123,0.017288997833333
"sp|P13674|P4HA1_HUMAN",-22.2976381426,-21.8804862577,-23.7728118158,-22.2981776867,-23.0647569269,-22.5517072439,7,5,4,4,4,3,0.959357598607889,0.972893341190336,-0.0120981195333343
"sp|P13693|TCTP_HUMAN",-19.4260551019,-20.0572230394,-19.0645550659,-19.1024807012,-19.2641572888,-19.4242088612,13,9,9,15,11,12,0.474312790023202,0.792878635907723,-0.252328785333333
"sp|P13796|PLSL_HUMAN",-19.2746713399,-19.2911616411,-19.2217805825,-19.1261100879,-18.8995236984,-18.8038347232,46,43,47,52,51,52,0.284847882830626,0.636743215031315,-0.319381684666666
"sp|P13798|ACPH_HUMAN",-22.5658256086,-21.5213201923,-20.9436980282,-21.2702967314,-21.5078475694,-21.8930044743,8,9,15,10,12,6,0.760108903712297,0.908482928546287,-0.119898351333333
"sp|P13804|ETFA_HUMAN",-19.6763843402,-19.1992042799,-19.5428975529,-19.3099815594,-19.5279251099,-19.9793733519,16,17,15,19,15,15,0.676899506960557,0.882080924855491,0.132931282733335
"sp|P13807|GYS1_HUMAN",NA,NA,NA,-24.2419579108,-22.546343911,-23.9748036369,0,0,2,1,5,1,NA,NA,NA
"sp|P13861|KAP2_HUMAN",-21.6790297466,-22.0000263427,-22.0780572342,-21.9948060469,-22.4997834183,-21.9523321638,4,5,5,7,7,5,0.475904582366589,0.7943971985993,0.229936101833331
"sp|P13984|T2FB_HUMAN",NA,-21.6730570434,NA,-21.6331387411,-21.2326511655,NA,5,1,4,8,6,4,NA,NA,NA
"sp|P13987|CD59_HUMAN",NA,NA,-22.1662719907,NA,-23.0313569674,-22.3523553788,6,3,2,5,4,3,NA,NA,NA
"sp|P13995|MTDC_HUMAN",-21.8139640678,-23.0558233924,-20.8764530059,-22.6794989724,-21.1563745436,-20.7411975081,5,2,4,6,6,5,0.468455626450116,0.78878221323901,-0.389723147333335
"sp|P14020|DPM1_YEAST",-20.6880011783,-19.9555202469,-20.3997639171,-22.3920654777,-21.3352563522,-23.2011637607,11,12,12,9,8,9,0.00477929234338747,0.0619469026548673,1.9617334161
"sp|P14065|GCY1_YEAST",-21.1209146971,-21.4343982399,-21.5611062169,-21.8130104281,-22.6582650105,-21.4554586908,4,6,6,4,3,4,0.150551914153132,0.462809917355372,0.603438325166664
"sp|P14120|RL30_YEAST",-20.0052601537,-19.1928116232,-19.407254642,-20.1265040009,-20.1221376795,-19.9766463505,5,6,9,5,6,7,0.146069895591647,0.456869009584665,0.539987203999999
"sp|P14126|RL3_YEAST",-18.9133055161,-18.5151272632,-18.6046250189,-19.3960135613,-19.6513299593,-19.1942436587,44,44,37,32,33,33,0.0493325116009281,0.267515923566879,0.736176460366668
"sp|P14164|ABF1_YEAST",-24.8196543592,-22.7923936229,-24.8795756641,-24.8106715671,NA,-25.1009006197,3,4,3,2,1,2,0.186472737819026,0.523020257826888,0.791911544666668
"sp|P14174|MIF_HUMAN",-21.6651998125,NA,NA,-21.6524958599,-21.527936995,NA,2,2,2,3,3,2,NA,NA,NA
"sp|P14306|CPYI_YEAST",-20.0483678485,-20.1583676052,-20.5894200742,-22.1495532671,-20.8218737633,-20.617046623,5,6,4,4,3,3,0.06077813225058,0.294871794871795,0.930772708500001
"sp|P14314|GLU2B_HUMAN",-20.7531472981,-20.9412551241,-20.6471446994,-20.496324467,-20.6628653472,-20.7245880232,11,12,16,19,17,15,0.586356148491879,0.850668968493742,-0.152589761399998
"sp|P14317|HCLS1_HUMAN",-21.8988450419,NA,-24.0864596874,-21.9295102738,NA,-23.8569847848,7,6,4,10,6,5,0.875511165893271,0.949889694295619,-0.0994048353500006
"sp|P14324|FPPS_HUMAN",-21.3878437591,-21.8396950669,-20.8472022172,-20.5490922888,-20.8996055386,-20.7036775006,8,7,7,12,7,7,0.110186339907193,0.40620957309185,-0.640788571733331
"sp|P14373|TRI27_HUMAN",-24.1296562982,NA,-24.1087805321,-23.7312627793,-23.1164490564,NA,2,4,2,3,4,NA,0.0885938225058005,0.358936484490399,-0.695362497300003
"sp|P14406|CX7A2_HUMAN",NA,-19.905832866,NA,NA,-21.0596986417,NA,NA,2,1,NA,2,1,NA,NA,NA
"sp|P14540|ALF_YEAST",-16.3712648352,-16.3100054703,-16.200838502,-16.9180552862,-16.8697112794,-16.7268116034,100,83,96,70,64,68,0.0887423143851508,0.358936484490399,0.544156453833335
"sp|P14550|AK1A1_HUMAN",-20.5573078965,-20.7032759121,-21.0937645895,-20.4887651109,-21.3060213696,-21.0564179192,13,14,8,13,12,12,0.621686919953596,0.863336085879438,0.1656186672
"sp|P14618|KPYM_HUMAN",-17.833381877,-17.9620270571,-17.7758506785,-17.5562368651,-17.6137459804,-17.5445855603,77,69,78,92,79,81,0.311984483758701,0.67000668002672,-0.2855637356
"sp|P14625|ENPL_HUMAN",-19.4517581897,-19.1132476752,-19.4437734739,-19.446636715,-19.3040250895,-19.3796207889,48,51,40,52,48,47,0.872964472157773,0.949889694295619,0.0405010848666691
"sp|P14635|CCNB1_HUMAN",NA,NA,NA,-22.3727965396,NA,NA,3,NA,NA,3,2,NA,NA,NA,NA
"sp|P14678|RSMB_HUMAN",-18.7101973975,NA,NA,-18.5251181491,NA,-18.222585679,21,21,18,24,25,26,NA,NA,NA
"sp|P14735|IDE_HUMAN",-23.6110003589,-22.7963733827,-22.9731285222,-23.4853625304,-25.0144544453,-23.3511752526,10,9,12,15,9,13,0.105524796983759,0.401076716016151,0.823496654833335
"sp|P14742|GFA1_YEAST",-21.2097647273,-21.3718302453,-21.666893267,-21.8349530385,-22.5798882817,-24.2445269947,13,11,9,11,9,8,0.0227079466357309,0.163333333333333,1.47029335843333
"sp|P14743|NMT_YEAST",NA,-22.6422041779,NA,-24.2616173701,-24.2766053267,NA,NA,2,1,2,2,1,NA,NA,NA
