"","protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"391","sp|P35232|PHB1_HUMAN",17,19,20,19,19,19,27.7169963978393,27.8398468508592,28.1352441235607,27.8257846882306,28.0620072578558,28.2069331164728,-0.0138943745644002,1
"392","sp|P29144|TPP2_HUMAN",14,16,14,18,16,12,25.6170885150886,25.7232965970463,25.9943262431105,25.8676772896174,26.1224085861616,26.0846439440149,-0.0194018378940335,1
"393","sp|P26321|RL5_YEAST",17,17,13,12,12,10,28.6037208483471,27.4774515846826,28.8964204563401,27.7949708638029,29.026219649931,28.0196674140134,-1.07809036403977,0.048755975173769
"394","sp|P46367|ALDH4_YEAST",19,18,17,17,15,14,27.8228212144418,26.7407182207636,28.3262895796851,26.9004118155048,28.0155237772171,27.2384881268606,-1.095005469405,0.0636988884581442
"395","sp|P08865|RSSA_HUMAN",15,11,17,14,17,17,28.5349080379615,28.6796529778528,28.9547206401277,28.7015215859892,29.0530618046058,29.0255929495314,-0.0453076564405327,1
"396","sp|P34730|BMH2_YEAST",20,21,17,15,17,17,29.4985743656274,29.0855478288269,30.0002318139883,29.1541658903301,29.9456911911097,29.4757355334045,-0.576349372721301,0.368579204910727
"397","sp|P51991|ROA3_HUMAN",18,17,18,19,20,18,28.6321238094198,28.5441923588879,28.855730419192,28.5622538387282,28.9223985722193,28.8730281845809,-0.143592806211366,0.967902625595525
"398","sp|P42229|STA5A_HUMAN",16,16,21,15,18,14,26.400444435743,26.306618707862,26.787252358942,26.3927113894251,27.0238563616732,26.7912184437049,-0.240334871788734,1
"399","sp|Q8WUM0|NU133_HUMAN",14,10,13,11,14,14,25.0820785305517,25.1444175491393,25.235416812136,25.0276389388067,25.3742805520835,26.1101570189541,0.196812537376299,1
"400","sp|P23526|SAHH_HUMAN",16,19,19,21,21,20,28.7005760277964,28.1246645317128,29.196348031181,28.5040336107203,29.1795700379759,28.7945143300299,-0.5510938748301,0.60550460350192
"401","sp|P05387|RLA2_HUMAN",15,14,15,13,15,14,29.1132073784685,28.9703511598894,29.4269261683272,28.990218941769,29.0202836354486,29.2807118767601,-0.106378401275265,1
"402","sp|Cont_P63103|1433Z_BOVIN; sp|P63104|1433Z_HUMAN",20,16,18,22,19,21,29.3028904480703,29.3660552224365,29.7776198323754,29.4713193534202,29.7745299077007,29.7614715951462,-0.0853980057144999,1
"403","sp|Q9UQE7|SMC3_HUMAN",14,16,16,14,13,18,25.8297326049665,25.7113746870812,26.1868234946399,25.9375835925529,26.2325279361595,26.179961466677,-0.1400547631516,1
"404","sp|Q13428|TCOF_HUMAN",18,17,17,20,14,17,26.2876478513165,26.2272578032587,26.800357350753,26.5612666159715,26.8635424995915,26.8349881967089,-0.109345028573967,1
"405","sp|P04802|SYDC_YEAST",19,15,18,15,17,14,27.324392357888,26.4415047981818,27.7584702766365,26.5914074080933,27.8495214530991,26.970907733096,-0.976188049417502,0.0957979358482406
"406","sp|P08566|ARO1_YEAST",18,14,18,6,6,8,25.4781679794797,24.746126785574,25.7659357541681,24.6851111736381,26.0010770691552,25.0501862760559,-0.921252189178335,0.0963833911960555
"407","sp|O95757|HS74L_HUMAN",17,17,16,20,18,17,26.3029318533522,26.4667073073103,26.3342168088826,26.4982502830911,26.0784267579721,26.2034561446516,0.1509461049487,0.95372201902946
"408","sp|P06168|ILV5_YEAST",16,17,16,13,16,14,27.7229659174788,26.595660532021,28.0787928725585,26.782020775928,28.1569496302544,27.1789659847919,-1.13402037585026,0.0605017343409739
"409","sp|P55209|NP1L1_HUMAN",15,16,16,15,14,19,27.2243459021319,27.3424089402243,27.1014894029748,27.0662808947388,27.2783053866162,27.3849171767336,0.0631554399912666,1
"410","sp|P40939|ECHA_HUMAN",12,15,13,14,13,14,26.7573110577309,26.3422601281047,27.0322050079105,26.520032206598,27.0869404050075,26.9836208745119,-0.343514420478099,0.875588329196577
"411","sp|P48634|PRC2A_HUMAN",14,15,15,15,16,21,24.6944690545166,24.6297778222735,25.2173541242132,24.9164060637648,25.0884859572549,25.0872418772065,-0.122294457579968,1
"412","sp|P26263|PDC6_YEAST",17,22,16,14,14,15,29.2407232151905,28.3589982827393,29.6542093460421,28.4516720696191,29.7348239219885,28.7096058418045,-1.03649342968607,0.048379044461387
"413","sp|P09104|ENOG_HUMAN",15,10,13,12,14,9,28.7700820170533,28.7178307727109,28.6566796223181,28.7085427560133,29.0398564883604,29.0972477293233,0.0190010434385665,1
"414","sp|P39023|RL3_HUMAN",18,19,18,19,20,17,28.1254740120331,28.0343738178497,28.495703178701,28.2945718129726,28.6039446890958,28.5630055996278,-0.1110568831266,1
"415","sp|P19367|HXK1_HUMAN",18,13,16,18,17,11,25.5943634478974,25.6002057999571,26.0960784438638,25.7601794364921,26.3968796332876,25.8835686370176,-0.281122550527334,1
"416","sp|Q14103|HNRPD_HUMAN",20,16,21,18,18,20,28.8249229161165,28.8567309820015,29.121925838859,28.9357100968521,29.3605153159585,29.3271698105016,-0.0625843938595985,1
"417","sp|P19338|NUCL_HUMAN",19,20,19,18,20,23,29.645857614504,29.6570079605458,30.1202715799851,29.8402289390582,30.0424108495624,29.9476309635669,-0.121224060293533,1
"418","sp|Q99613|EIF3C_HUMAN",14,15,14,16,15,14,26.234986370131,26.2796488345786,26.7536472673175,26.6053256677346,26.9800093199321,26.9170430418143,-0.0555418044177003,1
"419","sp|P07237|PDIA1_HUMAN",19,17,19,19,18,21,27.382305541906,27.3663024684177,27.7353694692794,27.5323543794183,27.8660944120709,27.8378632088074,-0.082416455537634,1
"420","sp|P22234|PUR6_HUMAN",16,17,16,20,16,22,28.0017653532794,28.1283125118849,28.3840386786181,28.0693833865196,28.4385765201778,28.4152114062525,-0.0704910824727669,1
"421","sp|Q06830|PRDX1_HUMAN",19,18,18,20,20,19,29.7325904009353,29.8757640662502,30.2143539570006,29.9693952170334,30.1273241910396,30.2411183361713,0.00400302349313245,1
"422","sp|P22392|NDKB_HUMAN",14,15,19,16,16,19,28.7749833609077,28.8018185592632,29.2993350637481,29.0365335034355,29.3111033108639,29.3083787516171,-0.0795636404013003,1
"423","sp|P09622|DLDH_HUMAN",12,12,15,13,15,16,27.1222259354755,27.0474809156262,27.4148267621452,27.1835299840522,27.4338975159884,27.4311180437914,-0.102940423379767,1
"424","sp|Cont_P12763|FETUA_BOVIN",15,13,13,14,14,15,27.5787961461041,27.4574377442722,28.0237851426564,27.7726910120368,28.0146195294859,28.0870116500947,-0.1000201372809,1
"425","sp|P17066|HSP76_HUMAN",19,20,17,15,15,14,30.3596741016808,30.2534454476285,30.7108174668162,30.2133579028978,30.7467754900921,30.5213709989636,-0.276364236366399,0.230275084578526
"426","sp|P34216|EDE1_YEAST",18,15,13,13,8,7,25.5832997318547,25.7483626016772,27.287464958677,26.1294455952684,27.3990716110602,26.4560607010275,-0.645322467872933,0.874821426340188
"427","sp|P00830|ATPB_YEAST",16,17,18,16,14,19,27.882617117643,27.5821283109365,28.3507312324244,27.4969660204444,28.4258890636834,27.8935150325176,-0.562209349950767,0.577229453871605
"428","sp|O75390|CISY_HUMAN",13,13,18,16,16,16,27.0202878749816,27.0347119960844,27.2300660388841,26.9619941732387,27.4047511365523,27.3688190832468,-0.0965265992826995,1
"429","sp|P40069|IMB4_YEAST",15,18,19,11,11,10,26.2226887907074,25.372012413416,26.6447935621157,26.1887509123468,26.8200134599533,26.0355500475835,-0.697060813143368,0.565075590282077
"430","sp|P42166|LAP2A_HUMAN",18,15,15,16,16,14,26.5729625756605,26.1893542015448,26.9515669084644,26.7831752078383,27.1078109062821,27.0893276270754,-0.190161117982835,1
"431","sp|P34897|GLYM_HUMAN",16,18,18,17,18,17,27.3854481267368,27.3243470312434,27.9188564148062,27.3477104346174,27.7548275745196,27.6733950251489,-0.237893208350967,1
"432","sp|P15531|NDKA_HUMAN",17,18,20,19,19,18,28.7922429979376,28.7331645213492,29.249683346888,28.9119119039638,29.1630350785509,29.1711803106877,-0.129568229125266,1
"433","sp|Q14C86|GAPD1_HUMAN",14,14,15,13,19,16,27.2299862690358,26.962991733426,27.5417973402433,27.3234667252275,27.493876211047,27.646799839076,-0.110800507532198,1
"434","sp|P38088|SYG_YEAST",19,15,18,13,16,11,27.4657496026222,26.7552680049996,27.86278489672,26.9560199043936,27.5901847498303,27.1440429704262,-0.687796123117701,0.197816683240512
"435","sp|Q8NC51|PAIRB_HUMAN",17,18,15,16,16,17,27.0229038336339,26.7987399462852,27.3489386878377,27.1660824589979,27.6682980110529,27.6962577122742,-0.126353471655734,1
"436","sp|Q15424|SAFB1_HUMAN",17,17,15,15,14,16,27.0150627889151,27.0359652842639,27.4752657478684,27.1127391971352,27.2149962747052,27.2861287728272,-0.0901638524207999,1
"437","sp|O94979|SC31A_HUMAN",15,13,14,15,12,16,25.7326159659507,25.845854667905,26.1804834593955,26.0258370741037,26.1063864200689,26.4452832816169,0.0991630594034992,1
"438","sp|P62195|PRS8_HUMAN",20,16,16,21,21,20,27.0699053366749,26.8286191082437,27.5235073991376,27.0287051874321,27.512193947466,27.3128512495557,-0.311810379349,0.884967099016686
"439","sp|Q96PK6|RBM14_HUMAN",16,18,16,16,17,20,26.5355326360195,26.335855635958,27.1393249517984,26.8801275556287,27.1313136163073,27.1655575287482,-0.141543494596766,1
"440","sp|P11171|EPB41_HUMAN",11,12,13,13,16,16,25.3568409454222,25.2707957634914,25.6518589657494,25.2735674060342,26.40325132635,26.3789853708939,-0.1628675657007,1
"441","sp|Q99661|KIF2C_HUMAN",12,15,15,17,17,20,26.7049251367137,26.8418359254175,26.1224744674557,26.6340593399397,26.9471701480303,26.9835465105433,0.228290674566933,1
"442","sp|P53992|SC24C_HUMAN",12,10,14,14,19,13,25.5463270520523,25.6234532040339,25.7298192428466,25.6175194790916,25.9637204702936,25.8241683580209,-0.0582419080153661,1
"443","sp|P22061|PIMT_HUMAN",16,15,16,14,17,15,27.0927639143745,27.4261871924412,27.4730173684158,27.2442597332294,27.7899582369934,27.6005281889738,-0.0282548017130999,1
"444","sp|Q01581|HMCS1_HUMAN",15,13,14,14,14,16,26.1459881020914,26.2799568093456,27.1195231326486,26.2827488132456,27.0835213659366,26.7109415573006,-0.358461806928267,0.909166804926522
"445","sp|P29692|EF1D_HUMAN",15,11,15,15,16,17,27.725576784244,28.2243592985646,28.1238571222895,28.2734789074448,28.5845332828375,28.6192810114434,0.227717342693933,1
"446","sp|P35241|RADI_HUMAN",9,11,16,10,18,20,27.1242664850049,27.3695188066969,27.6468791446562,27.5759228068646,27.8429306422837,27.9054375049836,0.0789342822000994,1
"447","sp|Q01082|SPTB2_HUMAN",7,11,15,13,13,15,24.9948496543244,24.7479853932004,25.3366336314365,25.1442244361564,25.2407687724101,26.476635342922,0.265531038035932,1
"448","sp|O94906|PRP6_HUMAN",14,15,18,14,19,19,26.4136270252324,26.3219150241467,26.8980719447858,26.7417742207819,26.9592219560688,27.0324111892713,-0.0582734972957001,1
"449","sp|P38968|SEC31_YEAST",13,15,16,9,9,9,25.3601320199798,24.4877486645477,25.7158414722132,24.8119723840591,26.0286079051003,25.0030154858438,-0.933948287614234,0.126816024228316
"450","sp|P36683|ACNB_ECOLI",6,5,6,20,17,16,25.2728192654367,26.5815313829359,25.3323668709364,26.5794335698167,25.1568863844868,26.932508990086,1.4438004739929,0.0274898687270787
"451","sp|Q9NZI8|IF2B1_HUMAN",14,18,14,15,17,18,27.2882379376382,27.2883573623633,27.6537306121581,27.4930593139406,27.7982288256471,27.7975093506707,-0.0537571161562672,1
"452","sp|P46109|CRKL_HUMAN",16,16,15,16,14,13,26.3727788618044,26.6844003166468,26.7805115334912,26.5998422601991,26.9329231648412,26.896018864057,0.0313492935887017,1
"453","tr|Cont_A0A3Q1M3L6|A0A3Q1M3L6_BOVIN",12,15,13,14,15,13,27.1433372782283,27.1970384717458,27.3210708162859,27.0180965808381,27.3314572767031,27.3515519312004,-0.0763927958110008,1
"454","sp|Q15046|SYK_HUMAN",14,14,13,16,15,18,26.4775284156339,26.5335733190153,26.9118342987012,26.6814671653405,26.9195682336587,27.0154793694734,-0.0261370313882002,1
"455","sp|O43847|NRDC_HUMAN",11,17,14,15,11,19,25.6549136048666,26.1714875918633,26.0611546028432,26.0515234484729,26.4796010595028,26.4128733240116,0.146738365711733,1
"456","sp|Q9BXJ9|NAA15_HUMAN",17,16,18,13,13,19,26.0637554861869,25.9201830053613,26.3739055414636,26.1814052509357,26.5259751115212,26.5531771716588,-0.102956903738633,1
"457","sp|P51114|FXR1_HUMAN",13,15,15,16,14,19,25.7793427426395,25.6864404689236,26.3362160099591,25.8509147543628,26.2877453470087,26.3456173485257,-0.173443842598399,1
"458","sp|P25789|PSA4_HUMAN",12,14,14,17,15,15,27.3224926378562,27.337983059691,27.852663514592,27.2627840633665,27.8347556337991,27.5967212881424,-0.270807791682467,0.922320602214142
"459","sp|P22147|XRN1_YEAST",15,17,15,10,8,10,26.1166728215152,25.9941206763225,26.7707536085637,26.4710686227696,26.8370187326142,26.5124920066445,-0.248921285652167,0.969519422468252
"460","sp|Q7KZ85|SPT6H_HUMAN",11,7,13,13,10,11,24.2488024406438,23.9460495569875,24.5567869149698,24.1103220854689,24.9733994982093,24.9492300562692,-0.257795718365765,1
"461","sp|P51692|STA5B_HUMAN",14,17,19,14,16,14,26.0138458823914,25.8312683869043,26.3183883429666,25.9825417429117,26.6527627129573,26.4405375608102,-0.243549749229701,1
"462","sp|A0A2R8Y4L2|RA1L3_HUMAN",14,15,16,17,14,13,28.8225401012833,28.9306863621324,28.908784921242,28.66185419278,28.9516516535654,29.0422561988359,-0.0160599741141318,1
"463","sp|P38919|IF4A3_HUMAN",13,11,13,14,13,17,27.1762984148212,26.9935773935289,27.5857526019379,27.2571435122182,27.566943260159,27.5466201444742,-0.177217742232268,1
"464","sp|Cont_Q2UVX4|CO3_BOVIN",10,12,11,11,16,12,25.3869049965421,25.3567704380179,25.7902828641157,25.4976215111989,26.0766345835101,25.802822504126,-0.198869330275033,1
"465","sp|P53622|COPA_YEAST",15,17,18,15,11,9,25.3950025690205,24.5873287602328,26.8344010285532,24.6271606873416,25.6471396580673,24.8955192588246,-1.255511516414,0.142424096043886
"466","sp|O43242|PSMD3_HUMAN",11,12,17,14,18,16,26.2991194014684,26.1079869333032,26.9208728230394,26.6834913346883,26.9336501382251,26.9914971938922,-0.1235556336164,1
"467","sp|Q86XP3|DDX42_HUMAN",14,9,15,15,12,15,25.7648224004872,25.8017167450937,25.991538453625,25.8189182689932,26.0946788809715,26.0751053360614,-0.0517664616451334,1
"468","sp|O95831|AIFM1_HUMAN",12,16,13,15,15,15,26.0511576505945,26.1767786768305,26.4864895095936,26.2225898930423,26.4781977340921,26.4300990117206,-0.0621257708955992,0.998539328928335
"469","sp|Q92973|TNPO1_HUMAN",12,16,14,14,15,13,26.2772970499739,26.5063353080554,26.5142828024992,26.371121232499,26.6998138830757,26.7309975422325,0.0390201157460351,1
"470","sp|Q8IY81|SPB1_HUMAN",11,12,12,11,12,10,25.0743404307251,25.1351238551913,26.2137892103802,25.6613762495731,25.4868783428031,25.4541314582102,-0.174792140311267,1
"471","sp|P33302|PDR5_YEAST",16,17,18,7,14,12,25.5886244048548,24.3501699438359,25.9996554776168,24.821531201856,25.9688567758588,25.1514396370569,-1.07799862519387,0.0848149624110103
"472","sp|Q15154|PCM1_HUMAN",12,11,13,12,17,18,24.9450739753403,24.6937923530679,25.2244134718812,25.065359758577,25.2929110743847,25.2071808852168,-0.165355174914834,1
"473","sp|P38249|EIF3A_YEAST",17,15,16,12,9,11,25.7045348137459,24.9344105824806,26.0615829708928,24.8825715960884,26.2420930871547,25.2516213850958,-0.979869102709535,0.0807803522194008
"474","sp|Q8TEX9|IPO4_HUMAN",9,7,11,14,12,12,25.6074706306575,25.5030284127092,25.9767904706744,25.5661480147802,25.8091080794498,25.9562034933008,-0.122663086663832,1
"475","sp|Q8NE71|ABCF1_HUMAN",14,13,13,11,14,17,25.843761700095,26.1525559461217,26.3744428141489,26.2591603733432,26.5439555130419,26.4781178520643,0.0425580480811334,1
"476","sp|P04840|VDAC1_YEAST",19,17,14,15,12,11,28.5642410318334,27.7240254080209,28.8080669510472,27.6416302011151,28.8737286207718,27.9952545980314,-0.961708798828333,0.069212866023232
"477","sp|Q14694|UBP10_HUMAN",14,11,13,12,18,14,25.7261672174559,25.8502175564387,25.8827117008707,25.7141461377539,25.9786488453895,25.9876977159263,-0.0118221178657336,1
"478","sp|P0A6F5|CH60_ECOLI",10,7,6,15,17,13,24.6880542264142,26.7663545064652,25.3925587679566,26.932664060516,25.412055508079,27.2189597438118,1.80843660278107,0.018648798953653
"479","sp|P04040|CATA_HUMAN",15,17,16,16,18,19,26.5341971886919,26.6044869458625,26.9375662623451,26.6602877835727,26.9951673717344,27.0429960675091,-0.0530533419423662,1
"480","sp|P21980|TGM2_HUMAN",16,10,10,14,14,18,25.9449179103755,25.9005406171643,26.376359521356,26.03449741154,26.4050354814035,26.4445832228001,-0.115563887210201,1
"481","sp|Q92878|RAD50_HUMAN",14,10,13,7,20,12,25.5559151575139,25.4988736694599,27.7634415553697,25.859993661598,26.1638626201036,26.3318180676881,-0.597511311413733,1
"482","sp|P17980|PRS6A_HUMAN",9,10,17,11,15,18,27.655707040979,27.137252125751,27.9125102109664,26.9819158892715,27.7776026771497,27.3706977818442,-0.618651377409466,0.196509086267938
"483","sp|Q9BY44|EIF2A_HUMAN",10,13,14,11,14,14,25.6125602152161,25.504063685507,26.1597629571787,25.7497328894825,26.0435324896104,25.9388202342555,-0.2077462842534,1
"484","sp|P17967|PDI_YEAST",12,15,17,13,12,10,27.3330058536453,26.313535606188,27.6101623425947,26.4433614440781,27.6940255033087,26.688255539064,-1.0640137034062,0.0575554435920146
"485","sp|P31946|1433B_HUMAN",18,18,19,21,19,18,29.3000491886802,29.3180636330677,29.7941637766377,29.4097394886995,29.7042728508802,29.6797558360085,-0.130308952807468,1
"486","sp|P49090|ASNS2_YEAST",12,13,20,10,9,10,26.5472552288592,25.6840702332611,26.81785483247,25.6355441027412,27.0168298763279,25.9158375383752,-1.04882935442653,0.0605017343409739
"487","sp|Q13451|FKBP5_HUMAN",13,15,14,14,15,14,26.2087378891591,26.2969352456979,26.704590535408,26.6216460160305,26.9595826368402,26.5470732666182,-0.1357521776869,0.990962447404889
"488","sp|P11412|G6PD_YEAST",15,10,13,11,11,10,25.6359258733857,24.944193733869,26.0816601063946,25.3156060772299,26.0770293594704,25.6099224486754,-0.641631026492134,0.483945160234132
"489","sp|P45880|VDAC2_HUMAN",17,14,14,14,14,15,27.7211140035916,27.8422719741493,28.1819447627425,27.8792306121427,28.1498717555192,28.1758429617158,-0.051861657948501,1
"490","sp|Q06210|GFPT1_HUMAN",12,13,15,17,13,17,26.2073103397518,25.9251625074147,26.5648159725757,26.272973422387,26.7336761527931,26.5703972773267,-0.245756419330734,1
"491","sp|Q9BQG0|MBB1A_HUMAN",13,12,14,16,13,14,26.0360548590509,25.4499681188146,25.5473549099556,26.1869342417668,25.5298156098451,25.6419943843292,0.0552237886863326,1
"492","sp|Q03558|OYE2_YEAST",17,14,14,13,12,13,27.2776947660474,26.2162383050643,27.6695447059033,26.3723048783247,27.7430755640257,26.7576697645315,-1.11470069601863,0.0627972729732912
"493","sp|P28066|PSA5_HUMAN",15,14,12,16,13,13,27.5796194368231,27.5034957968007,27.86125685183,27.5880937706086,27.8849048702632,27.9008044496097,-0.111129047299099,1
"494","sp|P46379|BAG6_HUMAN",14,13,11,15,15,16,25.5735658324403,25.4907027847869,25.8632344198268,25.5730926341373,25.7228891231307,25.8279803207931,-0.0893045452268323,1
"495","sp|O43175|SERA_HUMAN",16,16,13,18,16,17,26.8470447257587,26.6742777340449,27.2275823072893,26.9173363834758,27.3550469717379,27.2408703612844,-0.199063175326933,1
"496","sp|P07737|PROF1_HUMAN",16,14,15,18,16,18,29.0505041618719,29.085525461472,29.2846263067559,29.112970444269,29.4650965349466,29.4920003365396,-0.0365769204312668,1
"497","sp|P38764|RPN1_YEAST",17,13,18,9,10,9,26.1765944126874,25.0370252315126,26.2498654514318,25.1875091441042,26.4497903350111,25.6553441194014,-0.998790568037367,0.078029563119175
"498","sp|P23396|RS3_HUMAN",17,16,19,18,21,19,28.7825014765625,28.683138335604,29.2508783951227,28.9305957747992,29.264600088588,29.2153121414959,-0.156311236124701,1
"499","sp|Cont_P00761|TRYP_PIG",14,15,14,12,13,16,30.272392436625,30.2063272969073,30.5874784755635,30.20096653381,30.5642397523813,30.506600806018,-0.170072009278167,0.945282960437955
"500","sp|P00931|TRP_YEAST",13,10,17,11,7,9,26.1757904353161,25.7006807912161,26.7012701817364,25.7620923452978,26.74333150028,26.2275996395389,-0.643339780426566,0.537204355280617
"501","sp|P31040|SDHA_HUMAN",14,14,15,15,14,14,26.0561079642669,26.0467811389086,26.4276065870746,26.0806300222565,26.3817413585922,26.4538778478512,-0.0947223003058006,1
"502","sp|O00151|PDLI1_HUMAN",12,13,13,14,13,15,25.8771727144526,26.2193466881035,25.9948954782906,26.1250517448549,26.5327164246273,26.4691199745681,0.136244596718666,1
"503","sp|P28340|DPOD1_HUMAN",12,14,13,15,10,9,24.8283141334156,25.2160496848472,25.3190715951249,24.6751372846802,25.3092912111086,25.1241370922298,-0.147117625963966,1
"504","sp|Q12888|TP53B_HUMAN",11,6,11,9,13,14,24.1625748036691,25.2778266989979,24.5759819934186,24.625183983689,24.7386157523201,24.6394368759888,0.355091669755966,0.897939533051703
"505","sp|O43290|SNUT1_HUMAN",9,13,12,12,7,14,25.1169345235945,25.1861901236727,25.5777601492317,25.395497265588,25.5377800425542,25.9568584077398,0.102023693873366,1
"506","sp|P23588|IF4B_HUMAN",10,12,15,12,14,16,26.4857822715196,26.30508162171,26.907807819951,26.7699747108988,27.0089110492478,27.1060961129021,-0.0737828984024998,1
"507","sp|P43246|MSH2_HUMAN",12,15,11,13,12,15,25.7986168548502,25.9490664229634,26.2893221149177,25.9998773711584,26.9840375027592,26.4130632070349,-0.236656490456799,1
"508","sp|P05386|RLA1_HUMAN",9,8,11,8,10,10,27.4507843587817,27.4811539602801,27.2765803735042,27.2760318024048,27.5387619167231,27.4803798761505,-0.00952033672453349,1
"509","sp|Q7L2E3|DHX30_HUMAN",11,12,15,10,14,19,26.2758336520665,26.1187632094279,26.641504743841,25.7628726711832,26.0713947647585,26.2219481463184,-0.2950497112455,1
"510","sp|Q9Y230|RUVB2_HUMAN",16,16,16,14,19,17,27.1649497263504,27.1049258240522,27.4275018592954,27.1483009267404,27.4279925692463,27.4989221072679,-0.0894317656105332,1
"511","sp|Q14151|SAFB2_HUMAN",17,16,13,15,15,16,26.8413569354284,26.9248135907056,27.3396729305712,26.9907138136065,26.9716627391713,27.1523308035601,-0.0282781324328999,1
"512","sp|O95163|ELP1_HUMAN",9,13,11,11,15,11,25.4581253351453,25.0158437788141,25.6269712684533,25.4617502069751,25.8642456656623,25.2009162608418,-0.423610674209966,1
"513","sp|Q99714|HCD2_HUMAN",10,10,14,15,14,14,26.4685130531587,26.4544989885534,26.4354543349028,26.3300729977015,26.6024726787104,26.7711097951957,0.0164139048929002,1
"514","sp|P15170|ERF3A_HUMAN",13,14,18,17,16,18,26.7387247979829,26.7114221627191,27.4544017176044,27.1277009314706,27.0481668799697,27.1347611101724,-0.0891363970649681,1
"515","sp|Q93008|USP9X_HUMAN",9,10,11,12,12,14,25.0001324205637,24.9630794271325,26.208275147454,25.6742319301258,25.4778275479792,25.506996964516,-0.180642264740867,1
"516","sp|P61981|1433G_HUMAN",15,15,18,17,17,18,29.2805113947666,29.2936918049141,29.653815987076,29.4066701884763,29.7337295191774,29.7086733563029,-0.086340517108899,1
"517","sp|P07284|SYSC_YEAST",16,11,16,8,12,13,26.6333738731662,25.7553483929985,26.9757872812772,25.6985260023653,27.0307457607579,26.1359027595752,-1.01670992008743,0.069212866023232
"518","sp|P28331|NDUS1_HUMAN",15,12,15,18,16,14,25.3541234488864,25.3842393785253,25.6702049906134,25.3535139443878,25.7741878387159,25.7256478195531,-0.111705045249834,1
"519","sp|P00491|PNPH_HUMAN",14,15,14,16,16,17,26.5813828881813,26.7426634636568,26.8891997071671,26.7031719181016,27.2070658709834,27.0873024231018,-0.0481702204905332,1
"520","sp|Q16881|TRXR1_HUMAN",11,14,14,12,14,15,26.2273114271118,26.2931310352947,26.616052060092,26.3339322104566,26.8017056950617,26.7779547698557,-0.0800170555528332,1
"521","sp|O60341|KDM1A_HUMAN",13,14,12,11,9,12,26.1677060190575,25.7251983556754,26.0897706607055,25.8494617987384,26.1824804357014,26.1753965024962,-0.229966819518135,1
"522","sp|P27694|RFA1_HUMAN",16,15,20,14,16,15,26.7199272876832,26.7901009665551,26.96534913871,26.7505043890144,27.0814408524338,26.9773118955394,-0.0829333425726991,1
"523","sp|P13929|ENOB_HUMAN",12,10,12,12,12,10,29.2851789592878,29.2580557271404,29.4982941151894,29.4497499150983,29.7942997439491,29.8755403283901,0.00185771740083377,1
"524","sp|P0AEX9|MALE_ECOLI",5,6,5,19,20,15,25.478678537867,27.3895541453818,26.2111933381622,27.3423412509262,26.0347811667717,27.7443527382539,1.583865030587,0.0252918351531754
"525","sp|P32327|PYC2_YEAST",11,18,18,6,15,9,26.3566064446132,25.4828648129986,26.5889983281369,25.4692675655019,26.6811255766914,25.766770307024,-0.969275887972332,0.0662918290212675
"526","sp|P15705|STI1_YEAST",15,17,16,13,12,14,26.7408361640164,25.8326008129476,27.156273219594,25.9427037577356,27.1647150028447,26.2423210788876,-1.01473291229477,0.0696920561065335
"527","sp|P04181|OAT_HUMAN",10,12,15,13,12,17,26.5410321977518,26.6804701650064,26.9039810192288,26.7419169642779,27.3619436399129,27.0862911029917,-0.0994262082058329,1
"528","sp|O14776|TCRG1_HUMAN",9,13,15,14,11,16,26.80000732543,25.8923517785912,26.3750050841378,26.0885524354971,26.4915260323377,26.3163615042949,-0.4564242411741,0.629827133907408
"529","sp|P15891|ABP1_YEAST",13,14,15,9,11,11,26.8737616580155,26.0918606677848,27.2908296826214,26.341228602394,27.3409664303815,26.6564568333688,-0.805337222490266,0.199190273285744
"530","sp|P06634|DED1_YEAST",17,17,18,15,15,16,27.3556903712093,26.8299841673609,27.714111437037,26.9425924463305,27.8088322334596,27.2729426777174,-0.611038250099033,0.466143337475166
"531","sp|P18669|PGAM1_HUMAN",14,12,14,12,14,16,27.2333993758764,27.4105503373288,27.9295663428993,27.5965370428595,27.8022068078222,27.9159189392881,-0.0140554023738323,1
"532","sp|P48147|PPCE_HUMAN",12,11,13,16,14,14,24.8138386215782,24.9014136408249,24.9595009210938,24.7621766128393,25.1442882394372,25.1182939759072,-0.0452478508459322,1
"533","sp|Q9Y5L0|TNPO3_HUMAN",13,15,13,14,14,15,26.1006618578296,26.0370470226052,26.5775906375276,26.3567493522772,26.4811645562257,26.5853350816837,-0.0600951983389339,1
"534","sp|Q92888|ARHG1_HUMAN",15,11,13,12,13,16,25.10504447873,24.8098930193093,25.2141911831986,25.2972889580489,25.1845820986451,25.4035983748969,0.00232086389379897,1
"535","sp|Q6PKG0|LARP1_HUMAN",15,11,9,13,9,8,25.5885468636756,25.4806849501326,25.8733053580144,25.6806300489718,25.8847037829655,25.8082989452978,-0.125647353417766,1
"536","sp|P45974|UBP5_HUMAN",17,17,15,14,14,15,25.5949279913259,25.3591107847837,25.7624937635025,25.6231904992442,25.9457225315882,25.8388798896336,-0.160654370918368,1
